LeaveOn,HR,RE,Rress,SDATA,RPK,RPKHD,SwSD
0,0,0,1528,7980,46989,0,3635
2,0,0,2113,20056,35791,0,456
2,0,0,2245,47370,54532,0,83
2,0,0,2117,18979,60428,0,65
2,0,0,2077,24754,65535,0,145
2,0,0,2450,44417,64243,0,337
2,0,0,2405,48401,47589,0,875
2,0,0,2532,27990,26347,0,37
2,0,0,2483,13683,28753,0,60
2,0,0,2543,12792,25995,0,19
0,0,0,2556,6840,26932,0,33
2,0,0,1873,43164,26207,0,1082
2,0,0,1822,64963,23688,0,2379
2,0,0,2312,54141,23605,0,267
2,0,0,2236,28093,34712,0,142
2,0,0,2292,15761,35264,0,125
2,0,0,2267,29674,65535,0,260
2,0,0,2024,49000,65535,0,1212
2,0,0,2131,55599,65535,0,4618
2,0,0,2108,39285,65535,0,2547
2,0,0,1886,34311,47902,0,776
2,0,0,2223,48293,33549,0,77
2,0,0,2372,35082,65535,0,50
0,0,0,2420,4245,65535,0,34
2,0,0,2590,15537,65535,0,111
2,0,0,2589,39112,65535,0,260
2,0,0,2710,40301,35843,0,63
2,0,0,2947,22298,43409,0,84
2,0,0,3135,32197,28991,0,298
2,0,0,2893,33615,21493,0,122
2,0,0,3016,24892,21493,0,56
2,0,0,3046,21648,30119,0,102
2,0,0,3034,11975,31343,0,58
0,0,0,3027,6254,40026,0,14
0,0,0,3062,2554,40026,0,26
0,0,0,3079,1945,28556,0,30
0,0,0,3084,1469,21638,0,26
0,0,0,3078,1542,17316,0,17
0,0,0,3102,1436,14048,0,21
0,0,0,3109,1157,17980,0,19
0,0,0,3091,1201,18042,0,49
0,0,0,3042,6581,17144,0,91
0,0,0,3064,9245,17144,0,68
0,0,0,3058,8789,14161,0,84
0,0,0,3059,6406,13229,0,127
0,0,0,3105,3468,14035,0,112
0,0,0,3108,2732,12858,0,71
0,0,0,3099,1714,15669,0,88
0,0,0,3108,1594,15669,0,49
0,0,0,3121,1516,12298,0,25
0,0,0,3110,1069,13002,0,31
0,0,0,3130,1255,15271,0,17
0,0,0,3136,1214,15271,0,41
0,0,0,3129,995,13901,0,34
0,0,0,3142,1142,13651,0,31
0,0,0,3150,1046,12173,0,37
