LeaveOn,HR,RE,Rress,SDATA,RPK,RPKHD,SwSD
0,0,0,477,51,71,0,4
0,0,0,476,10,68,0,5
0,0,0,476,68,56,0,63
0,0,0,475,68,63,0,8
0,0,0,475,25,63,0,9
1,0,0,475,31,66,0,7
1,0,0,476,22,54,0,10
1,0,0,476,9,15,0,4
4,0,0,476,9,14,0,4
4,0,0,476,11,38,0,9
4,0,0,475,17,54,0,10
4,0,0,473,16,48,0,8
4,0,0,474,8,23,0,9
4,0,0,474,11,29,0,11
4,0,0,474,34,52,0,292
4,0,0,478,34,52,0,8
4,0,0,478,14,27,0,13
4,0,0,477,22,18,0,10
4,0,0,476,29,17,0,9
0,0,0,473,59,31,0,19
0,0,0,473,73,35,0,23
0,0,0,477,186,28,0,163
0,0,0,473,318,28,0,221
0,0,0,474,270,56,0,29
0,0,0,474,235,104,0,16
0,0,0,474,268,128,0,29
0,0,0,475,149,245,0,19
0,0,0,474,26,266,0,7
1,0,0,474,9,228,0,10
1,0,0,474,9,234,0,14
1,0,0,475,20,151,0,7
4,0,0,474,27,68,0,5
4,0,0,474,21,44,0,12
4,0,0,473,14,20,0,9
4,0,0,473,14,15,0,4
4,0,0,472,10,40,0,7
4,0,0,474,11,48,0,10
0,0,0,469,49,32,0,13
0,0,0,473,69,8,0,24
0,0,0,474,50,3,0,11
0,0,0,475,42,3,0,10
0,0,0,475,42,6,0,10
0,0,0,475,17,21,0,11
1,0,0,475,13,40,0,9
1,0,0,474,12,39,0,14
1,0,0,474,18,24,0,56
4,0,0,475,17,19,0,9
4,0,0,473,13,21,0,11
4,0,0,474,16,31,0,9
0,0,0,475,39,31,0,16
0,0,0,475,38,62,0,7
0,0,0,475,28,65,0,18
1,0,0,474,33,38,0,12
1,0,0,475,20,32,0,8
1,0,0,475,10,40,0,11
4,0,0,475,12,50,0,8
4,0,0,474,17,54,0,7
4,0,0,474,15,61,0,8
4,0,0,474,17,46,0,22
4,0,0,473,22,37,0,5
4,0,0,474,20,34,0,7
